question,answer
"Apakah rumah sakit ini memiliki dokter spesialis anak?","Ya, kami memiliki dokter spesialis anak yang berpengalaman."
"Bagaimana cara mendapatkan resep obat dari dokter?","Resep obat dapat diambil di apotek rumah sakit kami setelah konsultasi dengan dokter."
"Apakah rumah sakit ini menyediakan layanan psikologi?","Kami memiliki layanan psikologi untuk membantu pasien dengan masalah mental dan emosional."
"Apakah ada layanan pemeriksaan kesehatan rutin di rumah sakit ini?","Kami menyediakan layanan pemeriksaan kesehatan rutin untuk semua usia."
"Apakah rumah sakit ini memiliki fasilitas ruang ICU?","Ya, kami memiliki fasilitas ruang ICU dengan peralatan medis yang lengkap."
"Apakah ada layanan konsultasi gizi di rumah sakit ini?","Kami menyediakan layanan konsultasi gizi untuk membantu pasien mencapai pola makan yang sehat."
"Bagaimana saya bisa mendapatkan informasi tentang biaya perawatan?","Informasi tentang biaya perawatan dapat diperoleh dengan menghubungi pusat layanan pelanggan kami."
"Apakah rumah sakit ini memiliki program penanganan diabetes?","Kami memiliki program penanganan diabetes yang mencakup konsultasi dokter dan pengelolaan diet."
"Apakah ada layanan konsultasi sebelum operasi di rumah sakit ini?","Ya, kami menyediakan layanan konsultasi sebelum operasi untuk persiapan pasien."
"Apakah rumah sakit ini menyediakan layanan perawatan luka?","Kami menyediakan layanan perawatan luka dengan tim medis yang terlatih."
"Bagaimana cara mendapatkan hasil tes laboratorium?","Hasil tes laboratorium dapat diambil di loket laboratorium atau diakses secara online."
"Apakah ada program imunisasi di rumah sakit ini?","Kami memiliki program imunisasi yang mencakup berbagai jenis vaksin untuk anak dan dewasa."
"Apakah rumah sakit ini memiliki klinik mata?","Kami memiliki klinik mata dengan dokter spesialis mata yang berpengalaman."
"Apa saja layanan kesehatan yang ditawarkan oleh rumah sakit ini?","Kami menawarkan berbagai layanan kesehatan, termasuk konsultasi dokter, operasi, dan rehabilitasi."
"Apakah rumah sakit ini menyediakan layanan terapi okupasi?","Ya, kami menyediakan layanan terapi okupasi untuk membantu pasien dengan gangguan fungsional."
"Bagaimana saya bisa mendaftar untuk program kesehatan di rumah sakit ini?","Anda dapat mendaftar untuk program kesehatan melalui situs web kami atau dengan menghubungi pusat layanan pelanggan."
"Apakah ada layanan perawatan paliatif di rumah sakit ini?","Kami menyediakan layanan perawatan paliatif untuk pasien dengan penyakit terminal."
"Apakah rumah sakit ini memiliki fasilitas hemodialisis?","Ya, kami memiliki fasilitas hemodialisis untuk pasien dengan gagal ginjal."
"Bagaimana cara mendapatkan surat keterangan sehat?","Surat keterangan sehat dapat diperoleh setelah pemeriksaan kesehatan di rumah sakit kami."
"Apakah ada layanan imunisasi untuk dewasa di rumah sakit ini?","Kami menyediakan layanan imunisasi untuk dewasa, termasuk vaksin flu dan hepatitis."
"Apakah rumah sakit ini memiliki klinik kulit dan kelamin?","Ya, kami memiliki klinik kulit dan kelamin dengan dokter spesialis yang berpengalaman."
"Apakah ada program pemeriksaan kesehatan tahunan di rumah sakit ini?","Kami menyediakan program pemeriksaan kesehatan tahunan untuk deteksi dini penyakit."
"Bagaimana cara mendapatkan informasi tentang program promosi kesehatan di rumah sakit ini?","Informasi tentang program promosi kesehatan dapat ditemukan di situs web kami atau melalui pusat informasi kesehatan."
